"Trading Report (Pro, Prime, GDAX)"
User,xxxxxxxx@xxxxxx,xxxxx xxxxxxx

EXCHANGE TRANSFERS ***
TIMESTAMP,AMOUNT,CURRENCY,TYPE
2019-04-04 21:16:28 -0700,-100.00,USD,false
2019-04-15 20:30:33 -0700,0.01974477,BTC,true


EXCHANGE TOTALS ***
"",ZRX,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",BTC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0.0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,-0.01974477,N/A

"",ZEC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",XRP,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",XLM,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",USDC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",USD,EQUIV USD
BALANCE,0.00426399060765,N/A
BOUGHT,0,0
SOLD,-99.75057804,-99.75057804
TRANSACTED,100.0,N/A
RECEIVED,100.0,N/A
SENT,0,N/A

"",REP,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",MANA,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",LTC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",LOOM,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",GNT,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",ETH,EQUIV USD
BALANCE,6.74961058,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",ETC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",EOS,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",DNT,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",DAI,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",CVC,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",BCH,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A

"",BAT,EQUIV USD
BALANCE,0.0,N/A
BOUGHT,0,0
SOLD,0,0
TRANSACTED,0,N/A
RECEIVED,0,N/A
SENT,0,N/A


EXCHANGE TRANSACTIONS ***
TIMESTAMP,ACCOUNT NAME,TYPE,BALANCE,AMOUNT,CURRENCY,EQUIV USD,ID
2019-04-05T04:16:28+00:00,USD,transfer,0.00426399060765,100.0,USD,100.0,1297563324
2019-04-16T03:20:57+00:00,BTC,match,4.15400000736365,0.01974477,BTC,100.6344158214159,1317324273
2019-04-16T03:20:57+00:00,USD,fee,0.00426399060765,-0.2493764451,USD,-0.2493764451,1317324276
2019-04-16T03:20:57+00:00,USD,match,0.00426399060765,-99.75057804,USD,-99.75057804,1317324274
2019-04-16T03:30:33+00:00,BTC,transfer,4.15400000736365,-0.01974477,BTC,-100.6344158214159,1317330423



